pmid,title,year,journal,publication_type,authors,doi,pmcid,url,abstract,fetched_at
33193463,Abscisic Acid Is Required for Root Elongation Associated With Ca,2020,Frontiers in plant science,Journal Article; Retracted Publication,Yuan W; Zhang Q; Li Y,10.3389/fpls.2020.00332,PMC7188952,https://www.ncbi.nlm.nih.gov/pubmed/33193463,"Abscisic acid (ABA) is a critical hormone for plant survival under water stress. In this study, large-scale mutants of the Arabidopsis ecotype Columbia-0 (Col-0) were generated by ethyl methanesulfonate (EMS)-mutagenesis, and an improved root elongation under water-stress 1 (irew1) mutant showing significantly enhanced root growth was isolated under a water potential gradient assay. Then, irew1 and ABA-related mutants in Arabidopsis or tomato plants were observed under water potential gradient assay or water-deficient conditions. ABA pathway, Ca2+ response, and primary root (PR) elongation rate were monitored in addition to DNA- and RNA-Seq analyses. We found that based on phenotyping and transcriptional analyses, irew1 exhibited enhanced PR growth, ABA, and Ca2+ responses, compared to wild type subjected to water stress. Interestingly, exogenous Ca2+ application enhanced PR growth of irew1, ABA-biosynthesis deficient mutants in Arabidopsis, and tomato plants, in response to water potential gradients or water-deficient conditions. In combination with other ABA-related mutants and pharmacological studies, our results suggest that ABA is required for root elongation associated with Ca2+ influx in response to water stress.",2026-02-13T16:00:14.932732
39813758,Tomato biodiversity reveals landrace enhanced drought-adaptive strategy.,2025,Plant physiology and biochemistry : PPB,Journal Article,Pompeiano A; Moles TM; Mariotti L,10.1016/j.plaphy.2025.109495,NA,https://www.ncbi.nlm.nih.gov/pubmed/39813758,"Tomato (Solanum lycopersicum L.) is a major crop in the Mediterranean basin, vulnerable to drought at any crop stage. Landraces are traditional, locally adapted varieties with greater resilience to water scarcity than modern cultivars. This study compares the responses of Ciettaicale (CE), a tomato landrace, with Moneymaker (MM), a commercial variety, to controlled soil water deficit at early vegetative stage using biometric, physiological, biochemical, and molecular analyses. Our data highlighted that CE copes better with prolonged and severe drought stress, activating distinct response mechanism. CE sustained higher root water content, and root-to-shoot biomass ratio under drought compared to MM, which may be related to their phytohormones balance. Although pigment responses to drought did not differ markedly, the main ratios revealed different defense mechanisms. Both genotypes showed opposite trends in non-photochemical quenching (NPQ) and actual photon yield of PSII photochemistry under drought stress, with increasing NPQ while decreasing PSII electron transport rate and CO2 uptake capacity. However, differences in substomatal CO2 concentration indicated that drought mainly limits photosynthesis through diffusive resistances in CE and metabolic impairment in MM. Changes in antioxidant redox status and activities highlighted the CE ability to activate cellular processes to partially control oxidative stress and to induce a drought acclimation. Multicanonical analysis revealed clear genotype separation along the drought gradient, except for CE, which showed complex drought response and introgression of tolerance traits, particularly under moderate stress. Utilizing such genotypes can significantly improve horticultural production under drought conditions.",2026-02-13T16:00:15.738806
35748262,Genome-Wide Analysis and Expression Profiling of ,2022,Frontiers in bioscience (Landmark edition),"Journal Article; Research Support, Non-U.S. Gov't",Abbas M; Li Y; Elbaiomy RG,10.31083/j.fbl2706186,NA,https://www.ncbi.nlm.nih.gov/pubmed/35748262,"Tomato is an important part of daily food, rich source of multitude nutrients, suitable candidate for bio-pharmaceutical production due to berry size and has numerous health benefits. Transcriptional regulation of metalloregulatory heat shock protein-70 family plays pivotal role in plants tolerance against abiotic stress factors including salinity, heat, cold, drought and trace metal elements such as cadmium (Cd2+).",2026-02-13T16:00:16.340751
26327625,Transgenic Arabidopsis Plants Expressing Tomato Glutathione S-Transferase Showed Enhanced Resistance to Salt and Drought Stress.,2015,PloS one,"Journal Article; Research Support, Non-U.S. Gov't",Xu J; Xing XJ; Tian YS,10.1371/journal.pone.0136960,PMC4556630,https://www.ncbi.nlm.nih.gov/pubmed/26327625,"Although glutathione S-transferases (GST, EC 2.5.1.18) are involved in response to abiotic stress, limited information is available regarding gene function in tomato. In this study, a GST gene from tomato, designated LeGSTU2, was cloned and functionally characterized. Expression profile analysis results showed that it was expressed in roots and flowers, and the transcription was induced by salt, osmotic, and heat stress. The gene was then introduced to Arabidopsis by Agrobacterium tumefaciens-mediated transformation. Transgenic Arabidopsis plants were normal in terms of growth and maturity compared with wild-type plants. Transgenic plants also showed an enhanced resistance to salt and osmotic stress induced by NaCl and mannitol. The increased tolerance of transgenic plants was correlated with the changes in proline, malondialdehyde and antioxidative emzymes activities. Our results indicated that the gene from tomato plays a positive role in improving tolerance to salinity and drought stresses in Arabidopsis.",2026-02-13T16:00:17.030972
18688729,Significant improvement of stress tolerance in tobacco plants by overexpressing a stress-responsive aldehyde dehydrogenase gene from maize (Zea mays).,2008,Plant molecular biology,"Journal Article; Research Support, Non-U.S. Gov't",Huang W; Ma X; Wang Q,10.1007/s11103-008-9382-9,NA,https://www.ncbi.nlm.nih.gov/pubmed/18688729,"Aldehyde dehydrogenases (ALDHs) play a central role in detoxification processes of aldehydes generated in plants when exposed to the stressed conditions. In order to identify genes required for the stresses responses in the grass crop Zea mays, an ALDH (ZmALDH22A1) gene was isolated and characterized. ZmALDH22A1 belongs to the family ALDH22 that is currently known only in plants. The ZmALDH22A1 encodes a protein of 593 amino acids that shares high identity with the orthologs from Saccharum officinarum (95%), Oryza sativa (89%), Triticum aestivum (87%) and Arabidopsis thaliana (77%), respectively. Real-time PCR analysis indicates that ZmALDH22A1 is expressed differentially in different tissues. Various elevated levels of ZmALDH22A1 expression have been detected when the seedling roots exposed to abiotic stresses including dehydration, high salinity and abscisic acid (ABA). Tomato stable transformation of construct expressing the ZmALDH22A1 signal peptide fused with yellow fluorescent protein (YFP) driven by the CaMV35S-promoter reveals that the fusion protein is targeted to plastid. Transgenic tobacco plants overexpressing ZmALDH22A1 shows elevated stresses tolerance. Stresses tolerance in transgenic plants is accompanied by a reduction of malondialdehyde (MDA) derived from cellular lipid peroxidation.",2026-02-13T16:00:17.975853
32033747,Two promoter regions confer heat-induced activation of SlDREBA4 in Solanum lycopersicum.,2020,Biochemical and biophysical research communications,"Journal Article; Research Support, Non-U.S. Gov't",Deng MH; Lv JH; Wang ZR,10.1016/j.bbrc.2020.01.153,NA,https://www.ncbi.nlm.nih.gov/pubmed/32033747,"Dehydration-responsive element binding (DREB) transcription factors activate the expression of downstream functional genes in combination with a dehydration-responsive element (DRE), and thereby improve the resistance of plants to abiotic stresses such as heat. However, the upstream regulatory mechanism of DREB genes under heat is unclear. A DREBA4 subfamily transcription factor (SlDREBA4), which is heat-responsive and improves heat resistance, was isolated from Solanum lycopersicum 'Microtom'. In this study, promoter truncation experiments were performed to verify changes in β-glucuronidase (GUS) enzyme activity and GUS gene expression levels in transgenic plants with different lengths of promoter fragments under heat and to identify specific regions in the promoter that respond to heat. Our results showed that the GUS reporter gene was constitutively expressed in tissues of the full-length promoter transgenic 'Microtom' plants, with higher expression in conducting tissues of root, stem, and leaf, as well as sepals of flowers and fruits. Under heat treatment, GUS enzyme activity and GUS gene expression levels in tissues of the full-length promoter transgenic plants increased. Promoter deletion analysis identified two positive regulatory regions (-1095 to -730 bp and -162 to -38 bp) responsible for the promoter's response to heat. These results indicated that the heat shock element (HSE) and MYC recognition sequences may cooperate in heat-induced activation of SlDREBA4 promoter.",2026-02-13T16:00:18.529509
15604723,"CAZFP1, Cys2/His2-type zinc-finger transcription factor gene functions as a pathogen-induced early-defense gene in Capsicum annuum.",2004,Plant molecular biology,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Kim SH; Hong JK; Lee SC,NA,NA,https://www.ncbi.nlm.nih.gov/pubmed/15604723,"A pepper zinc-finger protein gene, CAZFP1 , encoding the Cys2/His2-type zinc-finger transcription factor was isolated from pepper leaves inoculated with an avirulent strain Bv5-4a of Xanthomonas campestris pv. vesicatoria . The CAZFP1 protein is a nuclear targeting protein, which functions as a transcriptional regulator. The full-length CAZFP1 had no transcriptional activation activity, whereas the C-terminal region of CAZFP1 had transactivation activity. The CAZFP1 transcripts were constitutively expressed in the pepper stem, root, flower and red fruit, but were not detectable in the leaf and green fruit. The CAZFP1 transcripts accumulated earlier than the CAZFP1 (PR-1) gene in the incompatible interaction of the pepper leaves with X. campestris pv. vesicatoria . The CAZFP1 transcripts were significantly induced in the systemic, uninoculated leaf tissues early after inoculation with bacterial pathogens, but gradually declined thereafter. The CAZFP1 transcripts were localized, and confined to the phloem cells of the vascular bundle in the pepper leaf midrib in response to Colletotrichum. coccodes infection, ethylene and abscisic acid. The CAZFP1 gene was also induced much earlier by abiotic elicitors and environmental stresses, compared with the CAZFP1 gene. Overexpression of the CAZFP1 gene in the transgenic Arabidopsis plants enhanced not only the resistance against infection by Pseudomonas syringae pv. tomato, but also the drought tolerance. These results suggest that the CAZFP1 gene functions as an early-defense gene to enhance disease resistance and drought tolerance.",2026-02-13T16:00:19.253285
19357433,Over-expression of a tomato N-acetyl-L-glutamate synthase gene (SlNAGS1) in Arabidopsis thaliana results in high ornithine levels and increased tolerance in salt and drought stresses.,2009,Journal of experimental botany,"Journal Article; Research Support, Non-U.S. Gov't",Kalamaki MS; Alexandrou D; Lazari D,10.1093/jxb/erp072,PMC2671631,https://www.ncbi.nlm.nih.gov/pubmed/19357433,"A single copy of the N-acetyl-L-glutamate synthase gene (SlNAGS1) has been isolated from tomato. The deduced amino acid sequence consists of 604 amino acids and shows a high level of similarity to the predicted Arabidopsis NAGS1 and NAGS2 proteins. Furthermore, the N-terminus ArgB domain and the C-terminus ArgA domain found in SlNAGS1 are similar to the structural arrangements that have been reported for other predicted NAGS proteins. SlNAGS1 was expressed at high levels in all aerial organs, and at basic levels in seeds, whereas it was not detected at all in roots. SlNAGS1 transcript accumulation was noticed transiently in tomato fruit at the red-fruit stage. In addition, an increase of SlNAGS1 transcripts was detected in mature green tomato fruit within the first hour of exposure to low oxygen concentrations. Transgenic Arabidopsis plants have been generated expressing the SlNAGS1 gene under the control of the cauliflower mosaic virus (CaMV) 35S promoter. Three homozygous transgenic lines expressing the transgene (lines 1-7, 3-8, and 6-5) were evaluated further. All three transgenic lines showed a significant accumulation of ornithine in the leaves with line 3-8 exhibiting the highest concentration. The same lines demonstrated higher germination ability compared to wild-type (WT) plants when subjected to 250 mM NaCl. Similarly, mature plants of all three transgenic lines displayed a higher tolerance to salt and drought stress compared to WT plants. Under most experimental conditions, transgenic line 3-8 performed best, while the responses obtained from lines 1-7 and 6-5 depended on the applied stimulus. To our knowledge, this is the first plant NAGS gene to be isolated, characterized, and genetically modified.",2026-02-13T16:00:19.922004
16900319,"Identification and functional expression of the pepper pathogen-induced gene, CAPIP2, involved in disease resistance and drought and salt stress tolerance.",2006,Plant molecular biology,"Journal Article; Research Support, Non-U.S. Gov't",Lee SC; Kim SH; An SH,NA,NA,https://www.ncbi.nlm.nih.gov/pubmed/16900319,"A novel pathogen-induced gene, designated CAPIP2, was isolated from pepper leaves infected with Xanthomonas campestris pv. vesicatoria. CAPIP2:GFP fusion proteins were primarily localized in the cytoplasm. The CAPIP2 transcripts were constitutively expressed in the pepper leaves, flowers, and fruits, but were not detected in the stems and roots. CAPIP2 gene expression was induced strongly in the pepper leaves during pathogen infection, and also after exposure to abiotic elicitors and environmental stresses. Ectopic CAPIP2 expression in Arabidopsis was accompanied by the expression of Arabidopsis PR-1 and PDF1.2 genes. Overexpression of the CAPIP2 gene in Arabidopsis transgenic plants conferred enhanced resistance to Pseudomonas syringae pv. tomato DC3000. The CAPIP2 transgenic Arabidopsis also manifested increased tolerance to high salt, drought and oxidative stress during seed germination and seedling state. These results suggest that pepper CAPIP2 gene may function as a defense-related gene against both biotic and abiotic stresses.",2026-02-13T16:00:20.655983
39596021,Endophytic Colonization of ,2024,International journal of molecular sciences,Journal Article,Guo W; Lu Y; Du S,10.3390/ijms252211949,PMC11594164,https://www.ncbi.nlm.nih.gov/pubmed/39596021,"Drought stress is one of the most important climate-related factors affecting crop production. Tomatoes (Solanum lycopersicum L.) are economically important crops which are highly sensitive to drought. The entomopathogenic fungus Beauveria bassiana, a widely used biological insecticide, can form symbiotic relationships with plants via endophytic colonization, increasing plant biomass and the ability to resist biotic stress. Under simulated drought stress conditions, the biomass of tomato seedlings such as plant height, root length, stem diameter, fresh weight, and relative water content, as well as the density and size of stomata in tomato leaves were significantly increased after B. bassiana colonization via root irrigation (p < 0.05). Meanwhile, the physicochemical properties associated with drought resistance such as peroxidase activity and proline content increased significantly (p < 0.05), while malondialdehyde reduced significantly (p < 0.05), and the expression levels of key genes related to stomatal development and drought tolerance pathways increased significantly (p < 0.05). These results indicate that the colonization of B. bassiana enhances the water absorption capacity of tomato seedlings and the rate of transpiration significantly and increases drought tolerance in tomato via the ""water spender"" pathway, which provides a new strategy for improving crop resistance to drought stress.",2026-02-13T16:00:21.382482
27546315,Overexpression of calmodulin-like (ShCML44) stress-responsive gene from Solanum habrochaites enhances tolerance to multiple abiotic stresses.,2016,Scientific reports,"Journal Article; Research Support, Non-U.S. Gov't",Munir S; Liu H; Xing Y,10.1038/srep31772,PMC4992891,https://www.ncbi.nlm.nih.gov/pubmed/27546315,"Calmodulin-like (CML) proteins are important Ca(2+) sensors, which play significant role in mediating plant stress tolerance. In the present study, cold responsive calmodulin-like (ShCML44) gene was isolated from cold tolerant wild tomato (Solanum habrochaites), and functionally characterized. The ShCML44 was differentially expressed in all plant tissues including root, stem, leaf, flower and fruit, and was strongly up-regulated under cold, drought and salinity stresses along with plant growth hormones. Under cold stress, progressive increase in the expression of ShCML44 was observed particularly in cold-tolerant S. habrochaites. The ShCML44-overexpressed plants showed greater tolerance to cold, drought, and salinity stresses, and recorded higher germination and better seedling growth. Transgenic tomato plants demonstrated higher antioxidant enzymes activity, gas exchange and water retention capacity with lower malondialdehyde accumulation and membrane damage under cold and drought stresses compared to wild-type. Moreover, transgenic plants exhibited reduced reactive oxygen species and higher relative water contents under cold and drought stress, respectively. Greater stress tolerance of transgenic plants was further reflected by the up-/down-regulation of stress-related genes including SOD, GST, CAT, POD, LOX, PR and ERD. In crux, these results strengthen the molecular understanding of ShCML44 gene to improve the abiotic stress tolerance in tomato.",2026-02-13T16:00:22.048259
21637957,Identification and expression pattern of one stress-responsive NAC gene from Solanum lycopersicum.,2012,Molecular biology reports,"Journal Article; Research Support, Non-U.S. Gov't",Han Q; Zhang J; Li H,10.1007/s11033-011-0911-2,NA,https://www.ncbi.nlm.nih.gov/pubmed/21637957,"NAC (for NAM, ATAF1, 2, and CUC2) family genes have been found to play an important role in diversified developmental processes and environmental responses. A new NAC-type transcription factor SlNAC3 was primarily identified and isolated from the cDNA libraries of tomato cultivar Ailsa Craig. It contains three exons and two introns within genomic DNA sequence and encodes a polypeptide of 329 amino acids. A plant-specific and conserved NAC domain is located in the N-terminus of SlNAC3. The protein SlNAC3 is subcellularly localized in the nucleus of onion epidemical cells and it has a transcriptional activation domain in the C-terminal region which shows extremely divergent among NACs. Phylogenetic analysis showed that SlNAC3 belonged to the OsNAC3 subgroup of the NAC protein family. Tissue expression profile analysis revealed that SlNAC3 was expressed mainly in flower, fruit and root. The transcription expression of SlNAC3 was inhibited by salt, drought stress and ABA treatment. These data demonstrate that SlNAC3 might interact with environmental and endogenous stimuli and probably function when plants response to salt and drought stresses through ABA signaling pathways as a transcriptional activator.",2026-02-13T16:00:22.897061
38069320,Genome-Wide Analysis of the DC1 Domain Protein Gene Family in Tomatoes under Abiotic Stress.,2023,International journal of molecular sciences,Journal Article,Li G; Dang J; Pan J,10.3390/ijms242316994,PMC10707348,https://www.ncbi.nlm.nih.gov/pubmed/38069320,"DC1 (Divergent C1) domain proteins are a new class of proteins that have been discovered in recent years, which play an important role in plant growth, development, and stress response. In order to better study the distribution and function of DC1 domain proteins in tomatoes, a genome-wide identification was conducted. It was found that there are twenty-one DC1 domain protein genes distributed on nine chromosomes of tomatoes, named SlCHP1-21. Phylogenetic analysis shows that twenty-one SlCHP genes are divided into six subfamilies. Most of the SlCHP genes in tomatoes have no or very short introns. All SlCHP proteins, with the exception of SlCHP8 and SlCHP17, contain variable amounts of C1 domain. Analysis of the SlCHP gene promoter sequence revealed multiple cis-elements responsive to plant stress. qRT-CR analysis showed that most members of SlCHP gene expressed in the roots. The SlCHP11, 13, 16, 17, and SlCHP20 genes showed specific responses to high temperature, low temperature, salt, and drought stress. In addition, the subcellular localization and interaction proteins of SlCHP were analyzed and predicted. Together, these results provides a theoretical basis for further exploration of the function and mechanism of the SlCHP gene in tomatoes.",2026-02-13T16:00:23.572529
39690267,Identification of a drought stress response module in tomato plants commonly induced by fungal endophytes that confer increased drought tolerance.,2024,Plant molecular biology,Journal Article,González Ortega-Villaizán A; King E; Patel MK,10.1007/s11103-024-01532-y,PMC11652604,https://www.ncbi.nlm.nih.gov/pubmed/39690267,"Global climate change exacerbates abiotic stresses, as drought, heat, and salt stresses are anticipated to increase significantly in the coming years. Plants coexist with a diverse range of microorganisms. Multiple inter-organismic relationships are known to confer benefits to plants, including growth promotion and enhanced tolerance to abiotic stresses. In this study, we investigated the mutualistic interactions between three fungal endophytes originally isolated from distinct arid environments and an agronomically relevant crop, Solanum lycopersicum. We demonstrated a significant increase in shoot biomass under drought conditions in co-cultivation with Penicillium chrysogenum isolated from Antarctica, Penicillium minioluteum isolated from the Atacama Desert, Chile, and Serendipita indica isolated from the Thar Desert, India. To elucidate plant gene modules commonly induced by the different endophytes that could explain the observed drought tolerance effect in tomato, a comprehensive transcriptomics analysis was conducted. This analysis led to the identification of a shared gene module in the fungus-infected tomato plants. Within this module, gene network analysis enabled us to identify genes related to abscisic acid (ABA) signaling, ABA transport, auxin signaling, ion homeostasis, proline biosynthesis, and jasmonic acid signaling, providing insights into the molecular basis of drought tolerance commonly mediated by fungal endophytes. Our findings highlight a conserved response in the mutualistic interactions between endophytic fungi isolated from unrelated environments and tomato roots, resulting in improved shoot biomass production under drought stress.",2026-02-13T16:00:24.299656
41643161,SlTIP2;3 mediates H,2026,The Plant journal : for cell and molecular biology,Journal Article,Li B; Zhao X; Geng J,10.1111/tpj.70705,NA,https://www.ncbi.nlm.nih.gov/pubmed/41643161,"As global climate change intensifies, the resultant increase in atmospheric vapor pressure deficit (VPD) significantly affects plant growth and distribution. Under high VPD (HVPD) conditions, plants face a contradiction between increased water evaporation and carbon fixation. A reduction in stomatal conductance (gs) can lead to carbon starvation, causing cellular damage or even death. Aquaporins, which are pivotal in water transport, play a crucial role in modulating plant water balance and gs under HVPD conditions; however, the underlying mechanisms remain inadequately understood. Tomato (Solanum lycopersicum L.) is an important economic crop. This study found that SlTIP2;3 is a key hub for tomato's response to HVPD and regulation of whole-plant hydraulic conductance (Kplant) and gs. The overexpression of SlTIP2;3 was observed to increase Kplant and gs under HVPD, enhancing water transport and mitigating the decline in gs. Additionally, the overexpression of SlTIP2;3 improved root and stem morphology, optimizing water absorption and distribution. In this context, SlTIP2;3, as a hydrogen peroxide (H2O2) transporter, facilitates H2O2 diffusion into cells, regulating gibberellin (GA) synthesis and signaling, thus enhancing both Kplant and gs. This study presents novel evidence indicating that SlTIP2;3 plays a mediating role in the H2O2-GA signaling pathway, which co-regulates plant adaptation to HVPD environments and contributes to maintaining high Kplant and gs. These findings provide valuable molecular insights into plant responses to climate change-induced water stress and support the genetic enhancement of drought-resistant crops.",2026-02-13T16:00:25.023064
32666420,"Genome-wide identification, genomic organization and expression profiles of SlARR-B gene family in tomato.",2020,Journal of applied genetics,Journal Article,Wang J; Xia J; Song Q,10.1007/s13353-020-00565-5,NA,https://www.ncbi.nlm.nih.gov/pubmed/32666420,"The type-B authentic response regulators (ARR-Bs) function as positive regulators of cytokinin signal transduction and play important roles in abiotic stress resistance and plant development. However, little of ARR-B family is known in tomato. In this study, we performed a comprehensive analysis of ARR-B family factors in tomato. In total, 12 genes encoding ARR-B transcription factors (named as SlARR-B1-SlARR-B12) were identified from tomato. We analyzed the structures, chromosome locations, phylogeny, protein motifs, and expression profiles of these SlARR-B genes. Gene structure analysis showed that 5-12 exons and 4-11 introns existed in the SlARR-B genes. These SlARR-B genes were asymmetrically distributed on eight chromosomes in tomato. Phylogenetic tree of SlARR-B genes from tomato and other plant species revealed that SlARR-B genes were classified into 6 subfamilies. SlARR-B proteins had typical conserved domains, including Motif 1 and Motif 2. The investigation of the expression profiles of SlARR-B genes in all the examined tissues demonstrated that these genes were differentially expressed, including roots, stems, leaves, flowers, and fruits at developmental stages. Notably, the expression of SlARR-B11 and SlARR-B12 exhibited high expression levels in flowers. Each gene was induced by at least one of different phytohormones (SA, IAA, ABA, IBA, 6-BA, JA, GA, and ETH) and four abiotic stress treatments (heat, drought, salt, and cold). This study sets a good foundation for further characterization of the SlARR-B transcription factors in plant development and abiotic stress responses of tomato.",2026-02-13T16:00:25.670471
34893896,The positive feedback regulatory loop of miR160-Auxin Response Factor 17-HYPONASTIC LEAVES 1 mediates drought tolerance in apple trees.,2022,Plant physiology,"Journal Article; Research Support, Non-U.S. Gov't",Shen X; He J; Ping Y,10.1093/plphys/kiab565,PMC8896624,https://www.ncbi.nlm.nih.gov/pubmed/34893896,"Drought stress tolerance is a complex trait regulated by multiple factors. Here, we demonstrate that the miRNA160-Auxin Response Factor 17 (ARF17)-HYPONASTIC LEAVES 1 module is crucial for apple (Malus domestica) drought tolerance. Using stable transgenic plants, we found that drought tolerance was improved by higher levels of Mdm-miR160 or MdHYL1 and by decreased levels of MdARF17, whereas reductions in MdHYL1 or increases in MdARF17 led to greater drought sensitivity. Further study revealed that modulation of drought tolerance was achieved through regulation of drought-responsive miRNA levels by MdARF17 and MdHYL1; MdARF17 interacted with MdHYL1 and bound to the promoter of MdHYL1. Genetic analysis further suggested that MdHYL1 is a direct downstream target of MdARF17. Importantly, MdARF17 and MdHYL1 regulated the abundance of Mdm-miR160. In addition, the Mdm-miR160-MdARF17-MdHYL1 module regulated adventitious root development. We also found that Mdm-miR160 can move from the scion to the rootstock in apple and tomato (Solanum lycopersicum), thereby improving root development and drought tolerance of the rootstock. Our study revealed the mechanisms by which the positive feedback loop of Mdm-miR160-MdARF17-MdHYL1 influences apple drought tolerance.",2026-02-13T16:00:26.397016
8616250,Structure and characterization of a putative drought-inducible H1 histone gene.,1996,Plant molecular biology,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Wei T; O'Connell MA,NA,NA,https://www.ncbi.nlm.nih.gov/pubmed/8616250,"A drought- and abscisic acid (ABA)-inducible gene, His1, was isolated from Lycopersicon pennellii, a drought-resistant relative of cultivated tomato, and the gene structure was defined experimentally. The nucleotide sequence of His1 predicts a protein of 202 amino acid residues, with a significant sequence homology to plant H1 histones. Consensus sequences for both H1 histone-specific promoter elements as well as an ABA-responsive element were identified in the 5'-flanking region of His1. Transcripts of this gene accumulate in leaf tissue in response to drought in three tomato species including cultivated tomato (L. esculentum), L. pennellii, and L. chilense, as well as in tobacco. Transcripts for His1 are constitutively expressed in roots; transcript abundances in tomato root tips were equivalent to transcript abundances in more mature regions of the seedling root. The accumulation in leaves of transcripts for His1 preceded visible symptoms of drought stress in the plants. Transcript accumulation was detected in both drought-sensitive and drought-resistant species at similar leaf water potentials, psi W -1.3 to -1.4 MPa.",2026-02-13T16:00:27.218939
37557017,Identification of tomato AHL gene families and functional analysis their roles in fruit development and abiotic stress response.,2023,Plant physiology and biochemistry : PPB,Journal Article,Wang L; Li T; Liu N,10.1016/j.plaphy.2023.107931,NA,https://www.ncbi.nlm.nih.gov/pubmed/37557017,"The AT-HOOK MOTIF CONTAINING NUCLEAR LOCALIZED (AHL) transcription factors play important roles in regulating plant development and stress response. However, the AHL family genes have not been identified in tomato (Solanum lycopersicum) and their biological functions have not been elucidated. In this work, the gene families encoding AHLs were identified in tomato genome, and their physical and chemical characteristics, subcellular localization, gene expression profiles during fruit development and upon abiotic stimulus were investigated. Overall, a total of 18 AHL members were identified in tomato genome, phylogenetic analysis classified these SlAHL members into two clades, clade A (SlAHL1-8) and clade B (SlAHL9-18). Six clade A SlAHLs were detected to be subcellular localized in the nucleus. The transcripts of the representative clade A SlAHLs predominantly accumulated 10 days post anthesis (dpa) in tomato fruits, revealing an involvement of these SlAHLs in early fruit development. Furthermore, compared with clade B members, the transcripts of the clade A SlAHLs were more responsive to heat, drought, cold and salt stresses, suggesting that these SlAHLs may play major roles in response to abiotic stresses. Moreover, overexpression of SlAHL1 and SlAHL7 in Arabidopsis increased the sensitivity to ABA during seed germination and seedling stages. Overexpression of SlAHL1 inhibited seed germination while increased primary root elongation upon salt and drought stresses. Together, our work suggested that the clade A SlAHL genes may play an important role in response to abiotic stresses, which paving the way for future functional analysis of AHL genes in tomato and other Solanaceae species.",2026-02-13T16:00:27.788593
39164381,WRKY transcription factor 40 from eggplant (Solanum melongena L.) regulates ABA and salt stress responses.,2024,Scientific reports,Journal Article,Zhang A; Shang J; Xiao K,10.1038/s41598-024-69670-3,PMC11335892,https://www.ncbi.nlm.nih.gov/pubmed/39164381,"Plants are affected by many environmental factors during their various stages of growth, among which salt stress is a key factor. WRKY transcription factors play important roles in the response to stress in plants. In this study, SmWRKY40 from eggplant (Solanum melongena L.) was found to belong to the subfamily of WRKY transcription factor group II, closely related to the evolution of wild tomato ScWRKY40 (Solanum chilense). The expression of SmWRKY40 could be induced by several abiotic stresses (drought, salt, and high temperature) and ABA to different degrees, with salt stress being the most significant. In Arabidopsis thaliana, the seed germination rate of SmWRKY40 overexpression seedlings was significantly higher than those of the wild type under high concentrations of NaCl and ABA, and root elongation of overexpression lines was also longer than wild type under NaCl treatments. SmWRKY40 overexpression lines were found to enhance Arabidopsis tolerance to salt with lower ROS, MDA, higher soluble protein, proline accumulation, and more active antioxidant enzymes. The expression level of genes related to stress and ABA signaling displayed significant differences in SmWRKY40 overexpression line than that of WT. These results indicate that SmWRKY40 regulates ABA and salt stress responses in Arabidopsis.",2026-02-13T16:00:28.511976
17177877,Regulation and manipulation of ABA biosynthesis in roots.,2007,"Plant, cell & environment","Journal Article; Research Support, Non-U.S. Gov't",Thompson AJ; Mulholland BJ; Jackson AC,NA,NA,https://www.ncbi.nlm.nih.gov/pubmed/17177877,"Overexpression of 9-cis-epoxycarotenoid dioxygenase (NCED) is known to cause abscisic acid (ABA) accumulation in leaves, seeds and whole plants. Here we investigated the manipulation of ABA biosynthesis in roots. Roots from whole tomato plants that constitutively overexpress LeNCED1 had a higher ABA content than wild-type (WT) roots. This could be explained by enhanced in situ ABA biosynthesis, rather than import of ABA from the shoot, because root cultures also had higher ABA content, and because tetracycline (Tc)-induced LeNCED1 expression caused ABA accumulation in isolated tobacco roots. However, the Tc-induced expression led to greater accumulation of ABA in leaves than in roots. This demonstrates for the first time that NCED is rate-limiting in root tissues, but suggests that other steps were also restrictive to pathway flux, more so in roots than in leaves. Dehydration and NCED overexpression acted synergistically in enhancing ABA accumulation in tomato root cultures. One explanation is that xanthophyll synthesis was increased during root dehydration, and, in support of this, dehydration treatments increased beta-carotene hydroxylase mRNA levels. Whole plants overexpressing LeNCED1 exhibited greatly reduced stomatal conductance and grafting experiments from this study demonstrated that this was predominantly due to increased ABA biosynthesis in leaves rather than in roots. Genetic manipulation of both xanthophyll supply and epoxycarotenoid cleavage may be needed to enhance root ABA biosynthesis sufficiently to signal stomatal closure in the shoot.",2026-02-13T16:00:29.113371
